G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
56.0,2024-02-27,24-041,CHI,,DET,L (-10),1,38:30,4.0,14.0,0.286,0.0,5.0,0.0,0.0,0.0,,3.0,3.0,6.0,6.0,3.0,0.0,2.0,2.0,8,7.2,-18.0,Home
57.0,2024-02-28,24-042,CHI,,CLE,W (+9),1,47:30,6.0,14.0,0.429,4.0,9.0,0.444,5.0,6.0,0.833,1.0,2.0,3.0,4.0,1.0,1.0,4.0,0.0,21,15.0,10.0,Home
58.0,2024-03-01,24-044,CHI,,MIL,L (-16),1,37:57,6.0,12.0,0.5,2.0,6.0,0.333,1.0,1.0,1.0,0.0,5.0,5.0,6.0,0.0,0.0,3.0,2.0,15,10.9,-3.0,Home
59.0,2024-03-04,24-047,CHI,@,SAC,W (+4),1,38:34,9.0,15.0,0.6,2.0,5.0,0.4,0.0,0.0,,1.0,1.0,2.0,5.0,1.0,0.0,0.0,2.0,20,17.8,-7.0,Home
60.0,2024-03-06,24-049,CHI,@,UTA,W (+2),1,36:20,2.0,11.0,0.182,1.0,6.0,0.167,3.0,4.0,0.75,0.0,2.0,2.0,9.0,1.0,0.0,2.0,2.0,8,5.8,-3.0,Home
61.0,2024-03-07,24-050,CHI,@,GSW,W (+3),1,37:31,6.0,12.0,0.5,2.0,5.0,0.4,0.0,0.0,,1.0,2.0,3.0,6.0,0.0,2.0,2.0,3.0,14,11.7,-9.0,Home
62.0,2024-03-09,24-052,CHI,@,LAC,L (-10),1,36:15,5.0,11.0,0.455,3.0,7.0,0.429,0.0,0.0,,0.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,13,10.8,-7.0,Home
63.0,2024-03-11,24-054,CHI,,DAL,L (-35),1,29:04,4.0,13.0,0.308,1.0,5.0,0.2,0.0,0.0,,2.0,6.0,8.0,6.0,1.0,1.0,2.0,2.0,9,7.8,-35.0,Home
64.0,2024-03-13,24-056,CHI,@,IND,W (+3),1,43:02,7.0,12.0,0.583,1.0,4.0,0.25,5.0,6.0,0.833,0.0,4.0,4.0,3.0,0.0,2.0,2.0,3.0,20,15.5,1.0,Home
65.0,2024-03-14,24-057,CHI,,LAC,L (-15),1,34:51,2.0,11.0,0.182,1.0,5.0,0.2,2.0,2.0,1.0,2.0,2.0,4.0,4.0,0.0,0.0,3.0,2.0,7,1.1,-24.0,Home
66.0,2024-03-16,24-059,CHI,,WAS,W (+29),1,40:30,14.0,22.0,0.636,4.0,7.0,0.571,2.0,2.0,1.0,1.0,2.0,3.0,9.0,1.0,0.0,1.0,2.0,34,31.0,22.0,Home
67.0,2024-03-18,24-061,CHI,,POR,W (+3),1,38:45,9.0,17.0,0.529,2.0,6.0,0.333,3.0,3.0,1.0,1.0,0.0,1.0,10.0,1.0,0.0,2.0,2.0,23,20.6,12.0,Home
68.0,2024-03-21,24-064,CHI,@,HOU,L (-10),1,39:25,13.0,18.0,0.722,5.0,6.0,0.833,4.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,35,29.8,1.0,Home
69.0,2024-03-23,24-066,CHI,,BOS,L (-11),1,39:58,7.0,16.0,0.438,0.0,4.0,0.0,0.0,0.0,,0.0,2.0,2.0,4.0,2.0,0.0,1.0,4.0,14,8.4,-9.0,Home
70.0,2024-03-25,24-068,CHI,,WAS,L (-2),1,33:45,4.0,9.0,0.444,2.0,4.0,0.5,2.0,3.0,0.667,1.0,1.0,2.0,3.0,0.0,0.0,2.0,3.0,12,6.8,-13.0,Home
71.0,2024-03-27,24-070,CHI,,IND,W (+26),1,33:57,7.0,11.0,0.636,3.0,5.0,0.6,0.0,0.0,,0.0,3.0,3.0,4.0,0.0,2.0,2.0,3.0,17,14.0,14.0,Home
72.0,2024-03-29,24-072,CHI,@,BRK,L (-17),1,31:45,6.0,9.0,0.667,0.0,2.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,16,14.3,-27.0,Home
73.0,2024-03-31,24-074,CHI,@,MIN,W (+8),1,35:35,5.0,9.0,0.556,1.0,2.0,0.5,2.0,2.0,1.0,0.0,3.0,3.0,6.0,2.0,0.0,1.0,3.0,13,13.6,18.0,Home
74.0,2024-04-01,24-075,CHI,,ATL,L (-12),1,35:37,7.0,13.0,0.538,1.0,5.0,0.2,0.0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,15,9.9,-10.0,Home
75.0,2024-04-05,24-079,CHI,,NYK,W (+8),1,39:25,10.0,20.0,0.5,3.0,7.0,0.429,1.0,2.0,0.5,3.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,24,16.5,3.0,Home
76.0,2024-04-07,24-081,CHI,@,ORL,L (-15),1,35:32,4.0,7.0,0.571,3.0,3.0,1.0,3.0,4.0,0.75,1.0,4.0,5.0,4.0,2.0,2.0,5.0,3.0,14,12.2,-7.0,Home
